id,stratum,doi_r,doi_o,A,B,has_fulltext,claude_verdict,claude_own_outcome,claude_confidence,claude_evidence_basis,claude_reasoning,claude_quote,claude_correct_original,codex_verdict,codex_own_outcome,codex_confidence,codex_evidence_basis,codex_reasoning,codex_quote,codex_correct_original,consensus
inco-045,inconclusive,10.1159/000331585,10.1016/j.jaci.2007.04.036,ours,mo,True,mo,inconclusive,medium,packet_fulltext,"Of the SNPs associated with antibody levels in Dhiman et al. (2007), only CD46 rs2724384 replicated. rs11118580 and the SLAM SNPs showed no antibody association, and the SLAM SNPs related only to other immune measures. The original's multi-SNP finding was therefore partly reproduced: mixed.",No associations were observed between the other 11 SNPs in the CD46 and SLAM genes and measles antibodies that were statistically significant in our previous study.,,mo,inconclusive,high,packet_fulltext,"The paper reproduced the allele dose-related antibody association for CD46 rs2724384, but it did not reproduce the other previously significant antibody associations, including the other CD46 and SLAM SNPs comprising the finding at issue. Because only part of the multi-SNP original finding replicated, the overall outcome is mixed rather than an unqualified success.",This result for rs2724384 was consistent with the data obtained in our prior measles vaccine study [24]. No associations were observed between the other 11 SNPs in the CD46 and SLAM genes and measles antibodies that were statistically significant in our previous study.,n/a,mo
inco-046,inconclusive,10.1080/08874417.2022.2119443,10.1080/08874417.2017.1281075,mo,ours,False,mo,inconclusive,medium,web_abstract_or_partial,"The Korean replication reproduced the overall SNS continuance framework but several structural paths differed: system quality affected social capital but not user satisfaction, and social capital directly predicted continued-use intention where it was non-significant originally. The authors frame it as generalizable with several significant differences, i.e. partial replication, not a failure.",generalizable to the South Korea context but with several significant differences,,mo,inconclusive,high,web_abstract_or_partial,"The South Korean sample reproduced six model paths, including both paths from content quality, system quality to social capital, and the downstream effects of social capital and satisfaction on continuance intention. However, system quality to satisfaction and both trust paths were not reproduced, so the results constitute a mixed or partial replication rather than an outright failure.","Using two culturally distinct samples, we demonstrate limitations to the generalizability of the original study’s findings and important constructs influencing continued-use intention across cultural boundaries.",,mo
inco-047,inconclusive,10.3389/fpsyg.2014.00754,10.1523/jneurosci.6018-08.2009,ours,mo,False,mo,success,medium,packet_abstract_only,"The finding at issue (motor-cortex stimulation of the lip area impairs discrimination of lip-articulated ba/da sounds, articulator-specifically) was reproduced with cTBS: lip-cTBS impaired ba-da discrimination while leaving da-ga and non-speech sounds and hand-cTBS unaffected. The failure to replicate concerns cTBS effects on MEP excitability, which is not the Möttönen & Watkins perceptual finding.",These findings show that stimulation of the lip motor representation disrupts discrimination of speech sounds in an articulatory feature-specific way.,,mo,success,high,web_fulltext,"The behavioral finding at issue was reproduced: lip-motor cTBS impaired discrimination of lip-articulated speech sounds, while sparing speech sounds not requiring the lips and non-speech sounds. Although the study did not reproduce the expected change in measured motor excitability, the authors explicitly concluded that they replicated the prior perceptual finding.","Using cTBS, we replicated our previous findings that temporary disruption of the lip motor representation impairs the perception of speech sounds",,mo
inco-048,inconclusive,10.17705/1atrr.00034,10.58729/1941-6679.1005,ours,mo,False,ours,success,low,web_abstract_or_partial,"Full text was inaccessible (403); the abstract reports that the core model of Khan et al. (2013) held: top management support influences IS performance through collective mindfulness. The only hint of qualification is a call for construct improvement, so success is the better-supported reading from available evidence.",We found that upper management concern and support for IS influences organizational performance through collective mindfulness.,,ours,success,high,web_abstract_or_partial,"The publisher’s abstract explicitly reports the same mediated relationship at issue: upper-management support for IS influences organizational performance through collective mindfulness. This directly supports coding the replication as successful, although the inaccessible full results might contain dimension-level qualifications.",We found that upper management concern and support for IS influences organizational performance through collective mindfulness.,,ours
inco-049,inconclusive,10.3390/bs15040487,10.1089/cyber.2023.0298,mo,ours,True,both,success,medium,packet_fulltext,"Elevated distress (25-33% moderate-to-severe) and the dose-response between exposure frequency and distress/secondary trauma were replicated; the null association of wellbeing service use held for distress and wellbeing but not secondary trauma. The authors conclude results were mostly replicated, so success is the main reading, though a partial-replication (inconclusive) coding is also reasonable.",The results of the current study mostly replicate previous findings that used a large anonymous online sample.,,ours,success,high,packet_fulltext,"The principal findings were reproduced: substantial psychological distress and low wellbeing, a significant dose-response relationship between exposure frequency and both psychological distress and secondary trauma, and no association between wellbeing-service use and psychological distress or wellbeing. Although the service-use result differed for secondary trauma, making that component only partial, the paper explicitly characterizes the results overall as mostly replicated; therefore, success is more defensible than inconclusive.",The results of the current study mostly replicate previous findings that used a large anonymous online sample.,n/a,split
inco-050,inconclusive,10.1002/ajmg.b.10761,10.1176/appi.ajp.158.8.1258,ours,mo,False,both,success,medium,packet_abstract_only,"Psychotic proband families significantly more often contained a relative with psychotic symptoms (76% vs 48%) and psychotic affective disorder clustered significantly in families, consistent with the prior report; however the relative-level comparison (35% vs 22%) was only p = 0.10 and the effect was smaller. Success is the primary reading, but 'modest support' makes an inconclusive coding reasonable too.",These results are consistent with our prior report although the magnitude of the predictive effect of a psychotic proband is less in the replication families.,,ours,success,high,web_fulltext,"The exact family-level prediction was reproduced: 76.1% of psychotic-proband families versus 47.8% of nonpsychotic-proband families had an affected psychotic relative (OR 3.47, P < 0.019). Individual-relative analyses were directionally consistent but nonsignificant, indicating a weaker effect rather than overturning the statistically supported family-level replication; the authors explicitly called the original finding replicated.",We replicated the finding from our prior report that psychosis in BPI probands predicted a significantly greater likelihood of psychotic affective disorder in their families.,,split
inco-051,inconclusive,10.1152/physiolgenomics.00085.2017,10.1371/journal.pone.0133964,mo,ours,False,ours,failure,high,packet_abstract_only,"The primary pre-specified test (change in MS-AE from baseline to 3 months) did not replicate the RANKL/OPG associations. The only positive signal was an uncorrected secondary association with treatment discontinuation, which does not rescue the original finding.",Previously reported associations were not replicated with our primary hypothesis,,ours,failure,high,web_fulltext,"Neither SNP reproduced the original association for the prespecified primary phenotype: rs7984870 and rs2073618 had P values of 0.173 and 0.134, respectively. The nominally protective rs7984870 result concerned a different, secondary discontinuation endpoint and was uncorrected, so it does not outweigh the failed primary replication.","Previously reported associations were not replicated with our primary hypothesis, change in MS-AE from baseline to 3 mo",,ours
inco-052,inconclusive,10.1161/jaha.112.005421,10.1161/01.atv.0000201044.33220.5c,ours,mo,False,both,success,medium,web_fulltext,"Both significant Ath QTLs from the prior cross (chr 2 and 17) plus a suggestive one (chr 15) were replicated, reaching genome-wide significance in the combined analysis; the other suggestive (sex-interactive) QTLs did not replicate. The headline finding replicated, so success; the unreplicated suggestive loci make inconclusive also defensible.","We found that both significant Ath QTLs in the prior cross were replicated in the new cross, whereas only one of the prior suggestive Ath QTLs was replicated.",,mo,inconclusive,high,web_fulltext,"The paper reports a mixed, locus-specific outcome: both previously significant QTLs replicated, but only one of the four previously suggestive QTLs did. Because only three of the original six loci were reproduced and the authors call the phenotypic QTLs “partially reproducible,” inconclusive is more defensible than an unqualified success.","Of the 6 Ath QTLs indentified in the prior cross, the 2 significant QTLs replicated, as did 1 of 4 suggestive QTLs",,split
inco-053,inconclusive,10.1002/pros.21443,10.1086/432377,ours,mo,False,both,inconclusive,low,packet_abstract_only,"Of the six previously linked regions, only 8p showed modest replication (HLOD 1.63 overall, 3.60 in young-onset families); 5q12, 15q11, 17q21 and 22q12 did not replicate. This is a partial replication, so inconclusive fits the rubric, but with most regions failing a failure coding is also reasonable.","Of the regions identified previously, modest evidence of replication was observed only on the short arm of chromosome 8",,ours,inconclusive,high,web_fulltext,"The replication was mixed: only one of the six original regions, 8p11, reached the paper’s replication threshold in the complete sample, while some additional overlapping signals appeared in defined family subsets. The authors explicitly characterized overall replication as “quite limited,” but they did report consistent linkage signals, so failure is too categorical and inconclusive is more defensible.","Of the six regions of suggestive linkage observed in the previous MS scan of 1,233 PC families (7), one region, 8p11, attained a LOD score over 1.5 in the present SNP scan.",n/a,split
inco-054,inconclusive,10.1037/xge0000451,10.1037/0022-3514.85.1.5,ours,mo,True,mo,success,high,packet_fulltext,"Quiz One was a direct replication of Wegner et al. (2003): despite random-responding instructions participants answered far more easy than hard questions correctly, and their accuracy estimates were significantly below actual accuracy. Both components of the original finding were reproduced; the mixed effects concern the hypnotic extension.","These results show that, consistent with Wegner et al. (2003), participants produced correct responses for many of the easy questions in quiz one",,mo,success,high,packet_fulltext,"Quiz One was explicitly designed as the direct replication and reproduced both central components of the original finding: participants answered significantly more easy than hard questions correctly despite instructions to respond randomly, and they substantially underestimated their actual accuracy. The paper itself labels this result as consistent with Wegner et al. (2003), so the replication was successful rather than mixed.","As in Wegner et al.’s (2003) original study, participants in quiz one produced significantly more correct responses for easy questions than for hard questions, indicating that, despite the instruction to respond randomly, knowledge of the correct answers strongly influenced their responses. At the same time, participants’ estimated accuracy was far below their actual accuracy, suggesting that they projected their answers to an external source and were unaware that they had answered a considerable proportion of questions correctly.",n/a,mo
inco-055,inconclusive,10.1177/1043986218769989,10.2307/2094796,mo,ours,False,ours,success,medium,packet_abstract_only,"The replication with the original wars (two World Wars and 12 smaller pre-1980 wars) generally confirmed that wars raise postwar homicide rates, with some method-dependent differences. The null result concerns the extension to post-1990 wars, not the replication of the original study.","Our replication results generally confirmed the hypothesis that wars increase postwar homicide rates, although there were differences in results based on the method of analysis.",,ours,success,high,web_abstract_or_partial,"The paper explicitly separates its replication analyses (the World Wars and 12 smaller pre-1980 wars) from its extension using four post-1990 wars. The replication generally confirmed the original hypothesis, whereas the null result applied to the extension, so B is more defensible despite method-dependent differences.","Our replication results generally confirmed the hypothesis that wars increase postwar homicide rates, although there were differences in results based on the method of analysis.",,ours
inco-056,inconclusive,10.3389/fpsyg.2025.1531759,10.1007/s11031-022-09975-w,ours,mo,False,mo,success,medium,packet_abstract_only,"Exclusion reduced goal attainability and produced affective-cognitive and behavioral goal disengagement (goal and group devaluation, behavioral deprioritization), which is the original finding. The null IAT effect is the new sub-personal extension, and the authors say most results replicated.",Most of the results of Rühs et al. (2022) could be replicated.,,mo,success,high,web_fulltext,"The replication reproduced the focal original finding: ostracism reduced perceived goal attainability and produced explicit goal devaluation, explicit group devaluation, and behavioral deprioritization. The null implicit-evaluation result concerned a newly added extension, while mixed associations with recovery concerned the proposed function of disengagement rather than whether the focal disengagement effects occurred.","The present study replicated the finding that goal blockage through ostracism leads to processes associated with GD, such as devaluation of the belonging goal",,mo
inco-057,inconclusive,10.1111/j.1467-7687.2008.00781.x,10.1111/1467-9280.00177,ours,mo,False,ours,inconclusive,medium,packet_abstract_only,"Experiment 1 replicated the part of Clearfield & Mix showing that infants respond to changes in contour length, but infants also responded to number, contradicting the claim that they attend to continuous extent rather than number. So one part replicated and the other did not: mixed.","Although we replicated their finding that infants attend to changes in contour length, infants in our study attended to number and perimeter/area simultaneously.",,mo,failure,high,web_fulltext,"Experiment 1 reproduced infants’ detection of changes in continuous extent, but not the original finding that continuous extent was preferred over number. Infants also detected numerical changes and showed no preference between the two, so the focal preferential-attention finding failed to replicate.",infants also detected a change in number and showed no preference for one change or the other.,,split
inco-058,inconclusive,10.1037/xge0000102,10.1037/a0015850,ours,mo,False,mo,failure,high,packet_abstract_only,"Across four experiments, including an exact replication (Exp. 4), collectivistic priming did not improve object-location memory; Exp. 1 gave only a hint of an effect together with an unexpected gender interaction. The overall result is a failure to replicate.","Finally, in Experiment 4 (n = 102), we performed an exact replication of the methods of the original reports and again found no priming effects on memory.",,mo,failure,high,web_abstract_or_partial,"The original finding was not reliably reproduced across the four experiments. Experiment 1 provided only a hint complicated by an unanticipated gender interaction, while Experiments 2 and 3 were null and the exact replication in Experiment 4 also found no priming effect; therefore, the overall outcome is best classified as failure rather than mixed/inconclusive.","Finally, in Experiment 4 (n = 102), we performed an exact replication of the methods of the original reports and again found no priming effects on memory.",,mo
inco-059,inconclusive,10.1016/j.annepidem.2010.12.003,10.1097/psy.0b013e31816a8dbc,mo,ours,True,mo,failure,medium,packet_fulltext,"The finding at issue is that persistent physical activity in adulthood raised CFS/ME risk in the 1946 cohort. In the 1958 cohort physical activity at 23 and 33 was not associated and persistent exercisers had no change in odds. The psychopathology results did replicate, but they are a different finding.",there was no evidence that persistent exercisers at 23 and 33 years had either a decrease or increase in the odds of CFS/ME.,,mo,failure,high,packet_fulltext,"The finding at issue was that persistent physical activity in early to mid-adulthood increases CFS/ME risk. In the replication, persistent activity at ages 23 and 33 was not associated with CFS/ME (OR 1.12, 95% CI 0.57–2.19; p=0.83), and the authors explicitly state that this did not support the 1946-cohort finding. Although other findings in the broader paper were mixed, this specific finding clearly failed to replicate, so A is more defensible.","There was no evidence that performing sporting activity at age 11 was associated with reduced odds of CFS/ME (10), or that persistent physical activity in early-to midadulthood increased the risk of CFS/ME (9).",,mo
inco-060,inconclusive,10.1212/wnl.0000000000000855,10.1056/nejmoa1211103,ours,mo,False,both,success,medium,packet_abstract_only,"The meta-analysis confirmed the R47H association with AD (p = 0.0029) in the same direction, and the authors say it confirms the association; but the effect (OR 1.67, CI 0.95-2.92 in case-control data) was much smaller than the APOE4-like size originally reported. The association replicated, so success, but the effect-size part of the finding failing makes inconclusive defensible too.","While our results serve to confirm the association between R47H and risk of AD, the observed effect on risk was substantially smaller than that previously reported.",,ours,success,high,web_fulltext,"The replication reproduced the increased-risk association in the same direction, with the combined family and case-control meta-analysis reaching statistical significance (p = 0.0029). Although the estimated effect was substantially smaller than originally reported and the case-control-only confidence interval included 1, the paper explicitly concludes that the association was confirmed; thus success is more defensible than inconclusive.",While our results serve to confirm the association between R47H and risk of AD,n/a,split
inco-061,inconclusive,10.1177/0899764011404081,10.1023/a:1020337425782,mo,ours,False,both,success,low,packet_abstract_only,"Full text was inaccessible (Sage/ResearchGate 403); only the abstract was available. The abstract reports 'similar patterns' for Zurich NPOs as for the New York original, which reads as a success, but with several predictors of media publicity a partial match is plausible and cannot be ruled out, so inconclusive is also a reasonable reading.","The application reveals similar patterns for nonprofit organizations in the cities of Zurich, Switzerland, and New York, the United States, across a replication and original study, respectively.",,ours,success,high,web_abstract_or_partial,"The publisher’s abstract explicitly reports similar patterns between the Zurich replication and the original New York study. That directly supports coding the replication as a success, although the paywalled full results were unavailable.","The application reveals similar patterns for nonprofit organizations in the cities of Zurich, Switzerland, and New York, the United States, across a replication and original study, respectively.",,split
inco-062,inconclusive,10.1111/j.1600-0447.2006.00868.x,10.1016/j.psychres.2004.07.004,mo,ours,False,both,inconclusive,low,web_abstract_or_partial,"Only the abstract was accessible (Europe PMC, no PMC full text). The replication confirms the female excess and longer illness for preadult onset, plus family history and suicide attempts, but the abstract does not report the original's 'more severe and disabling' findings surviving adjustment, so the replication looks partial. Success is still a defensible reading given the authors' framing.","Participants with a preadult onset of MDD (38%) were younger, ill for longer and more likely to be women than those with adult onset MDD (62%). After adjusting for age, duration of illness and gender, participants with preadult onset MDD also had higher rates of family history of depression, more past suicide attempts, and lower rates of obsessive compulsive and panic disorder.",,mo,inconclusive,high,web_abstract_or_partial,"The replication reproduced female predominance and some associations, particularly family history and suicide attempts, but not the original study’s broader profile of greater chronicity, severity, disability, and comorbidity. Because key components failed to replicate while others succeeded, the overall outcome is mixed, making inconclusive more defensible than success.","participants with preadult onset MDD also had higher rates of family history of depression, more past suicide attempts",,split
inco-063,inconclusive,10.1002/ijc.23682,10.1158/0008-5472.can-04-3247,ours,mo,True,mo,inconclusive,medium,packet_fulltext,"Only 4 of the 36 evaluable SNPs reached nominal significance, with no multiple-testing correction. One of the four was only marginal (p=0.061) in the GLM and another was non-significant there (p=0.222); about 2 hits would be expected by chance alone. The authors say this 'confirmed' associations in 4 genes, but most of the original 38-SNP finding did not replicate, so success overstates it.","Among 36 evaluable SNPs previously identified, 4 (11%) replicated their association with ESCC risk in the first phase of this study.",,mo,inconclusive,high,packet_fulltext,"The replication reproduced associations for only 4 of the 36 evaluable SNPs from the original set, while the other 32 did not replicate. Although the authors describe those four associations as confirmed, the original finding concerned 38 SNPs, so the overall result is a partial, mixed replication and is best coded inconclusive.","Among 36 evaluable SNPs previously identified, 4 (11%) replicated their association with ESCC risk in the first phase of this study.",n/a,mo
inco-064,inconclusive,10.18718/81781.15,10.1016/j.jbankfin.2014.05.033,mo,ours,True,mo,success,medium,packet_fulltext,"The finding at issue is that semiparametric estimation beats mixture-normal and Student-t approximations. The replication reaches that conclusion again on the same sample, despite small numerical deviations and a needed fix to one calculation step. The deviations (e.g., more 90% underestimation) do not overturn the central comparison, so mixed is less defensible.","Despite that, they are sufficiently close to confirm the superiority of semiparametric estimation over classical methods such as mixture normal and Student-t approximations in estimating tail distribution of portfolios.",,mo,success,high,packet_fulltext,"The replicated results directly reproduce the finding at issue: semiparametric estimation is judged superior to the mixture-normal and Student-t benchmarks for portfolio-tail estimation. Although the paper identifies an implementation problem requiring a small transformation and recommends out-of-sample validation, it explicitly says the replicated results are sufficiently close to confirm the original superiority claim; these caveats do not make that result mixed.","Despite that, they are sufficiently close to confirm the superiority of semiparametric estimation over classical methods such as mixture normal and Student-t approximations in estimating tail distribution of portfolios.",n/a,mo
orig-065,original,10.18632/oncotarget.12903,,mo,ours,False,mo,n/a,medium,web_fulltext,"The paper mainly replicates its own KORA finding in the NAS cohort. Where it frames the NAS analysis against a published study, that study is ref 34, Nwanaji-Enwerem et al. 2016 (NAS epigenetic age and air pollution): the authors call their analysis 'our replication', retain that study's repeated-measures approach and explain why their results differ from it. McCracken 2010 is cited only as background (ref 33) among telomere studies.","In our replication, we used a slightly different subset of the NAS cohort and adjusted for confounders not assessed in the previous study.",,mo,n/a,high,web_fulltext,"The paper identifies reference 34—Nwanaji-Enwerem et al. (2016), Answer A—as the previous NAS study of epigenetic aging and air pollution and compares its KORA results with those NAS associations. Answer B is discussed as earlier telomere literature, but the authors explicitly state that its reported association was inverse to their KORA observation.",there has been one previous study using the NAS cohort which showed positive associations between epigenetic age and 1-year PM2.5 and BC exposure [34].,,mo
orig-066,original,10.2188/jea.11.281,,ours,mo,True,mo,n/a,high,web_fulltext,"The core finding tested (Types 1 and 2 predicting cancer and CHD in the Yugoslav cohort, 10-year follow-up) is cited to ref 9. The article PDF identifies ref 9 as Grossarth-Maticek, Eysenck & Vetter 1988. The 1985 Bastiaans/Kanazir paper is ref 13, cited only for the Type 5 'rationality/anti-emotionality' construct.","In a 10 year follow-up period, Types 1 and 2 were strongly, positively associated with the risk of cancer and CHD/apoplexy, respectively, as compared with Types 3 and 4 each 9).",,ours,n/a,high,packet_fulltext,"The paper identifies the foundational finding as the Yugoslav cohort in which 1,353 healthy residents were personality-typed and followed for 10 years; Types 1 and 2 predicted cancer and CHD/apoplexy, respectively. That description matches Grossarth-Maticek, Bastiaans, and Kanazir (1985), Answer A; the paper discusses later developments and a broader series of Grossarth-Maticek studies, but does not frame the 1988 smoking-interaction paper in Answer B as the original study being replicated.","In the mid 1960s, Grossarth-Maticek and his colleagues 9) interviewed 1,353 healthy inhabitants of a small town in Yugoslavia, and classified them into one of 4 personality types, Types 1 to 4, on the basis of his theory of disease-prone personalities; ... In a 10 year follow-up period, Types 1 and 2 were strongly, positively associated with the risk of cancer and CHD/apoplexy, respectively, as compared with Types 3 and 4 each 9).",,split
orig-067,original,10.1002/art.39619,,mo,ours,False,mo,n/a,high,web_fulltext,"The replicated markers were selected from the ImmunoChip discovery study's anti-CCP-negative analysis, which is ref 21: Eyre et al. 2012 Nat Genet. Viatte et al. 2012 (ref 8) is a separate candidate-marker study cited as background.",The patients and methods used to identify non-HLA genetic polymorphisms associated with anti-CCP-negative RA in the discovery study (ImmunoChip) have been described previously 21.,,mo,n/a,high,web_fulltext,"The methods identify the discovery dataset as the six-cohort ImmunoChip study in reference 21, comprising 3,339 anti-CCP-negative cases and 15,870 controls. Reference 21 is Eyre et al. (2012), “High-density genetic mapping identifies new susceptibility loci for rheumatoid arthritis,” so Answer A is correct; Answer B is a different earlier study.",The patients and methods used to identify non‐HLA genetic polymorphisms associated with anti‐CCP–negative RA in the discovery study (ImmunoChip) have been described previously 21.,,mo
orig-068,original,10.5753/sbqs.2016.15130,,mo,ours,False,both,n/a,medium,web_fulltext,"The replicated quasi-experiment is cited to de Mello et al. 2012 (SBCARS) in the replication section. Its results (FMCheck 51.3% more effective) and trial design are cited to de Mello et al. 2014 (JUCS), which reports the same first experimental study. The two are reports of the same original study.",We conducted an operational replication of the quasi-experiment designed to evaluate the feasibility of FMCheck [de Mello et al. 2012].,,both,n/a,high,web_fulltext,"The paper explicitly describes its work as an operational replication of the FMCheck quasi-experiment cited to de Mello et al. (2012), supporting B. It also identifies de Mello et al. (2014) as the report of the first trial whose effectiveness finding is being replicated; thus A and B are two publications reporting the original study.",“We conducted an operational replication of the quasi-experiment designed to evaluate the feasibility of FMCheck [de Mello et al. 2012]”; “strengthens the findings ... [de Mello et al. 2014].”,,both
orig-069,original,10.1002/ajp.20895,,ours,mo,False,both,n/a,low,web_abstract_or_partial,"Full text was inaccessible. The abstract says the study replicates previous work on the Mona Foundation sample, i.e. the authors' own Llorente et al. 2009 study of bimanual tube-task laterality in naturalistic housed chimpanzees. The finding being re-tested is Hopkins' population-level right-handedness on the tube task, and the title mirrors Hopkins et al. 2003's 'replication and extension'. Both are plausibly originals the paper re-tests.","This has been conducted by replicating previous studies on similar samples (Mona Foundation, Spain), and then by extending the results to chimpanzees housed in intermediate settings.",,mo,n/a,high,web_fulltext,"The paper presents the research as a replication of earlier work on the Mona Foundation chimpanzees, followed by an extension to the Chimfunshi sample. That earlier Mona study is Llorente, Mosquera, and Fabré (2009), whereas Hopkins et al. (2003) provides a captive-setting comparison rather than the directly replicated study.","This has been conducted by replicating previous studies on similar samples (Mona Foundation, Spain), and then by extending the results to chimpanzees","Llorente, Mosquera, and Fabré (2009), “Manual laterality for simple reaching and bimanual coordinated task in naturalistic housed chimpanzees (Pan troglodytes),” doi:10.1007/s10764-009-9338-1",split
orig-070,original,10.1145/2915970.2915983,,ours,mo,False,both,n/a,medium,web_abstract_or_partial,"The replication targets the authors' own earlier finding that weighted moving windows improved regression-based estimation on an ISBSG single-company dataset. Both the 2013 PROFES paper and the 2014 JSEP journal version report that experiment, and both are in the replication's reference list (OpenAlex). The full text was not accessible to say which one it singles out.",The idea has been extended for regression-based estimation by weighting projects differently according to their order within the window. This significantly improved the accuracy of estimation in a single-company dataset from the ISBSG repository.,,both,n/a,high,web_abstract_or_partial,"The replication paper identifies Amasaki and Lokan’s earlier weighted-moving-window work collectively as the research it retests on a new dataset. Its cited prior studies include both the 2013 conference paper in Answer B and its expanded journal treatment in Answer A, which report the same underlying fixed-size weighted-window experiment.","Amasaki and Lokan [2,3,5] extended this idea ... and found that weighting ... affected estimation accuracy.",,both
orig-071,original,10.1177/008124630303300307,,mo,ours,False,mo,n/a,medium,web_abstract_or_partial,"The paper replicates the qualitative phase of Abrahams and Mauer (1999b), in which participants gave synonyms for 16PF words. That qualitative, home-language analysis is the SAJP paper 'Qualitative and statistical impacts of home language...'. The SAJIP paper on construct comparability is a psychometric factor-structure study. Both are in the reference list, but only A matches the replicated synonym task.",Part of the qualitative phase of Abrahams and Mauer's (1999b) study was replicated at the University of Cape Town with both native English-speaking and non-native English-speaking students.,,mo,n/a,high,web_abstract_or_partial,"The replication repeats the synonym-list procedure from Abrahams and Mauer’s home-language study, including its list of 136 words and qualitative methodology. That study is Answer A; Answer B concerns construct comparability and is a separate 1999 paper.",The students were provided with the same list of words utilized by Abrahams and Mauer (1999b). This list consisted of 136 nouns and adjectives that are found in the 16PF.,,mo
orig-072,original,10.3758/s13423-022-02158-1,,ours,mo,False,mo,n/a,medium,web_fulltext,"The study adopts the four scenarios of Slovic & Fischhoff (1977), powers itself on that paper's effect and calls it 'the original study'. It replicates the between-participants hypothetical-design hindsight bias with those materials. Fischhoff 1975 is cited only as the general source of the hindsight-bias concept.","based on Slovic and Fischhoff's ( 1977 ) results with the same materials, assuming a conservative difference between foresight and hindsight (i.e., p = .10 compared with p = .17 in the original study).",,mo,n/a,high,web_fulltext,"The replication paper explicitly states that its four experimental scenarios were adopted from Slovic and Fischhoff (1977), and it again credits that paper as the source of its materials. Fischhoff (1975) is cited as foundational work defining hindsight bias, but it is not the specific study whose materials were re-tested here.",We adopted the four stimulus scenarios from Slovic and Fischhoff (1977).,"Slovic, P., & Fischhoff, B. (1977). On the psychology of experimental surprises. DOI: 10.1037/0096-1523.3.4.544",mo
orig-073,original,10.1371/journal.pone.0244110,,ours,mo,False,mo,n/a,high,web_fulltext,"The replicated work is the motion-fluency study of Flavell, McKean et al. 2019 (JEP:LMC, ref 7). It found preference effects only after moving, not stationary, presentations, and the paper replicates it with insect stimuli. 'Competing for affection' (JEP:HPP, ref 5) is a different perceptual-fluency paper.",This experiment also serves as the first attempt to replicate the original motion fluency study of Flavell et al.,,mo,n/a,high,web_fulltext,"The paper explicitly says it replicates the original motion-fluency study by Flavell et al. (2019), cited as reference 7. Reference 7 is the study named in Answer B; Answer A is reference 5 and provides only general background on perceptual fluency.",This experiment also serves as the first attempt to replicate the original motion fluency study of Flavell et al. 2019 [7].,"Flavell, McKean, Tipper, Kirkham, Vestner, and Over (2019), “Motion Fluency and Object Preference: Robust Perceptual but Fragile Memory Effects,” DOI: 10.1037/xlm0000667",mo
orig-074,original,10.1901/jaba.2000.33-239,,mo,ours,False,ours,n/a,medium,web_abstract_or_partial,"This JABA 'systematic replication' applies positive peer reporting to socially isolated youth in residential care. That is the intervention and population of Ervin, Miller & Friman 1996 (JABA), the experimental original. Bowers et al. 1999 is a descriptive practice paper about the same technique, and is among the four works the paper cites. The PMC PDF was blocked, so this rests on the abstract, the reference list and the design match.",We studied how rewarding youth in residential care for publicly reporting positive social behavior influenced the social interactions and acceptance of their most socially isolated peers.,,mo,n/a,high,web_fulltext,"The introduction distinguishes earlier classroom experiments, including Ervin et al. (1996), from Bowers et al.’s 1999 group-home case report. It then explicitly says the present study attempts to experimentally replicate the results of the latter report, making Answer A correct.",This study is an attempt to experimentally replicate the results of that report with 4 adolescents in a group-home setting.,,split
orig-075,original,10.1002/alr.21275,,ours,mo,False,ours,n/a,medium,packet_abstract_only,"The finding replicated is the association of TAS2R38 rs10246939 with chronic rhinosinusitis, first reported by Adappa et al. 2013 (T2R38 genetics correlates with CRS needing surgery). Lee et al. 2012 established T2R38's role in upper respiratory infection and innate defence (the background motivation), not the CRS genotype association the conclusion names.",This study replicates previous work which showed that the coding SNP rs10246939 in the TAS2R38 gene is associated with CRS.,,ours,n/a,high,web_abstract_or_partial,"The replication paper specifically re-tests the association between TAS2R38 variation and chronic rhinosinusitis, which was reported by Adappa et al. (Answer A). Lee et al. (Answer B) established the receptor’s role in susceptibility to upper respiratory infection, but it was not the prior clinical CRS-association study being replicated.",This study replicates previous work which showed that the coding SNP rs10246939 in the TAS2R38 gene is associated with CRS.,"Adappa et al. (2013), “Genetics of the taste receptor T2R38 correlates with chronic rhinosinusitis necessitating surgical intervention,” doi:10.1002/alr.21140",ours
orig-076,original,10.1073/pnas.1615198114,,mo,ours,False,both,n/a,medium,web_fulltext,"The paper manually reanalyses Stern's (2014) own song recordings, whose automated analysis failed to reproduce the period-dependent song cycles, and in doing so re-tests Kyriacou & Hall's (1980) original finding. It is simultaneously a re-analysis of Stern 2014 and a confirmation of Kyriacou & Hall 1980, so both answers name a study the paper genuinely re-examines.",We have therefore reanalyzed Stern's primary song recordings that are provided on his website.,,mo,n/a,high,web_fulltext,"The paper identifies Kyriacou and Hall’s 1980 study as the first report of the courtship-song oscillation and its modulation by period mutations. Stern (2014) is described as a later failed replication whose recordings are reanalyzed, not as the original study.","In 1980, in these pages, the first of a series of studies by Kyriacou, Hall, and their collaborators revealed...",,split
