tier,doi_r,screen_class,screen_confident,abstract_source,abstract_chars,title_r,mo_result,mo_type,mo_year,mo_field,screen_evidence,screen_reasoning
1,10.3758/app.72.6.1601,replication,yes,epmc,1639,Language identification from visual-only speech signals,inconclusive,close extension,2010,social sciences,,
1,10.3758/bf03193943,replication,yes,epmc,1471,Transient covert attention does alter appearance: A reply to Schneider (2006),success,close experiment,2007,social sciences,,
1,10.3758/bf03196595,replication,yes,epmc,1040,Single letter coloring and spatial cuing eliminates a semantic contribution to the Stroop effect,inconclusive,close experiment,2004,social sciences,,
1,10.3758/bf03211320,replication,yes,epmc,748,Is there implicit memory without attention? A reexamination of task demands in Eich’s (1984) procedure,inconclusive,direct,1997,social sciences,,
1,10.3758/bf03211602,replication,yes,epmc,1820,Young infants’ perception of liquid coarticulatory influences on following stop consonants,success,direct,1990,social sciences,,
1,10.3758/cabn.10.2.159,replication,yes,epmc,1676,Resisting emotional interference: Brain regions facilitating working memory performance during negative distraction,success,close experiment,2010,biological sciences,,
1,10.3758/pbr.16.2.344,replication,yes,epmc,1052,What is pressure? Evidence for social pressure as a type of regulatory focus,success,direct,2009,social sciences,,
1,10.3758/pbr.17.6.827,replication,yes,epmc,996,Single-letter coloring and spatial cuing do not eliminate or reduce a semantic contribution to the Stroop effect,failure,direct or close,2010,social sciences,,
1,10.3758/s13414-014-0757-5,replication,yes,epmc,1775,Visual statistical learning is not reliably modulated by selective attention to isolated events,failure,direct,2015,social sciences,,
1,10.3758/s13414-016-1155-y,replication,yes,epmc,1485,The spatiotopic representation of visual objects across time,failure,direct,2016,social sciences,,
1,10.3758/s13414-018-01656-6,replication,yes,epmc,1382,Object-based biased competition during covert spatial orienting,success,close experiment,2019,social sciences,,
1,10.3758/s13414-019-01715-6,replication,yes,epmc,1126,Revisiting intersubjective action-effect binding: No evidence for social moderators,failure,conceptual,2019,social sciences,,
1,10.3758/s13415-015-0366-3,replication,yes,epmc,1831,Anhedonia is associated with reduced incentive cue related activation in the basal ganglia,inconclusive,close experiment,2015,biological sciences,,
1,10.3758/s13421-013-0353-2,replication,yes,epmc,1065,The effects of healthy aging on the mnemonic benefit of survival processing,success,close experiment,2014,social sciences,,
1,10.3758/s13421-020-01068-8,replication,yes,epmc,1516,Blurring past and present: Using false memory to better understand false hearing in young and older adults,success,close experiment,2020,social sciences,,
1,10.3758/s13421-022-01273-7,replication,yes,epmc,942,Does testing enhance new learning because it insulates against proactive interference?,failure,direct,2022,social sciences,,
1,10.3758/s13421-022-01344-9,replication,yes,epmc,1029,People from the U.S. and China think about their personal and collective future differently,success,close experiment,2023,social sciences,,
1,10.3758/s13421-022-01391-2,replication,yes,epmc,1250,Surviving with story characters: What do we remember?,success,close experiment,2023,social sciences,,
1,10.3758/s13421-025-01713-0,replication,yes,epmc,1766,Further unpacking age-related differences in mind wandering: The roles of emotional valence and meta-awareness,success,close extension,2025,social sciences,,
1,10.3758/s13423-015-0866-8,replication,yes,epmc,1512,Men in red: A reexamination of the red-attractiveness effect,failure,direct,2015,social sciences,,
1,10.3758/s13423-017-1401-x,replication,yes,epmc,1829,"Memory for retinotopic locations is more accurate than memory for spatiotopic locations, even for visually guided reaching",success,direct,2018,social sciences,,
1,10.3758/s13423-020-01834-4,replication,yes,epmc,1585,Default sensitivity in attempts at social influence,success,direct,2021,social sciences,,
1,10.7820/vli.v02.1.ishii,replication,yes,oa,1195,Reexamining semantic clustering: Insight from memory models,failure,close extension,2013,social sciences,,
1,10.1001/archneurol.2010.201,reproduction,yes,oa,1687,"Meta-analysis Confirms CR1, CLU, and PICALM as Alzheimer Disease Risk Loci and Reveals Interactions With APOE Genotypes",success,close experiment,2010,biological sciences,,
1,10.1002/jae.1078,reproduction,yes,oa,1083,Aggregation is not the solution: the PPP puzzle strikes back,failure,direct or close,2009,social sciences,,
1,10.1016/j.ajhg.2016.09.002,reproduction,yes,epmc,1270,An Ancient Fecundability-Associated Polymorphism Switches a Repressor into an Enhancer of Endometrial TAP2 Expression,success,close extension,2016,biological sciences,,
1,10.1016/j.cortex.2020.03.031,reproduction,yes,epmc,2084,Preventing the return of fear in humans using reconsolidation update mechanisms: A verification report of Schiller et al. (2010),failure,direct,2020,social sciences,,
1,10.1017/s0003055405051658,reproduction,yes,oa,1055,Do Get-Out-the-Vote Calls Reduce Turnout? The Importance of Statistical Methods for Field Experiments,reversal,direct or close,2005,social sciences,,
1,10.1017/s0003055405051658 (case conflict 1),reproduction,yes,oa,1055,Do Get-Out-the-Vote Calls Reduce Turnout? The Importance of Statistical Methods for Field Experiments,reversal,direct or close,2005,social sciences,,
1,10.1017/s0003055405051658 (case conflict 2),reproduction,yes,oa,1055,Do Get-Out-the-Vote Calls Reduce Turnout? The Importance of Statistical Methods for Field Experiments,reversal,direct or close,2005,social sciences,,
1,10.1017/s0003055405051658 (case conflict),reproduction,yes,oa,1055,Do Get-Out-the-Vote Calls Reduce Turnout? The Importance of Statistical Methods for Field Experiments,reversal,direct or close,2005,social sciences,,
1,10.1080/09603107.2011.564130,reproduction,yes,oa,500,An empirical demonstration of classical comparative cost theory: a correction to Balassa (),success,direct or close,2011,social sciences,,
1,10.1093/pan/mpi019,reproduction,yes,oa,548,Bias in Conditional and Unconditional Fixed Effects Logit Estimation: A Correction,success,direct or close,2005,social sciences,,
1,10.1111/j.1540-6261.2012.01744.x,reproduction,yes,oa,608,CEO Compensation and Board Structure Revisited,failure,direct or close,2012,social sciences,,
1,10.1257/aer.102.7.3774,reproduction,yes,oa,375,Growth Dynamics: The Myth of Economic Recovery: Comment,success,direct or close,2012,social sciences,,
1,10.1257/aer.104.3.1072,reproduction,yes,oa,689,The Dynamic Behavior of the Real Exchange Rate in Sticky Price Models: Comment,failure,direct or close,2014,social sciences,,
1,10.1257/aer.104.4.1439,reproduction,yes,oa,434,"Stock Prices, News, and Economic Fluctuations: Comment",failure,direct or close,2014,social sciences,,
1,10.1257/aer.20131048,reproduction,yes,oa,742,Choice Inconsistencies among the Elderly: Evidence from Plan Choice in the Medicare Part D Program: Comment,failure,direct or close,2016,social sciences,,
1,10.1257/aer.20150891,reproduction,yes,oa,689,"The Cyclicality of Sales, Regular, and Effective Prices: Business Cycle and Policy Implications: Comment",failure,direct or close,2017,social sciences,,
1,10.1257/aer.20162011,reproduction,yes,oa,760,The Dynamic Effects of Personal and Corporate Income Tax Changes in the United States: Comment,failure,direct or close,2019,social sciences,,
1,10.1257/aer.20171787,reproduction,yes,oa,679,The Human Capital Stock: A Generalized Approach: Comment,success,direct or close,2019,social sciences,,
1,10.1257/aer.20180888,reproduction,yes,oa,771,Geographic Dispersion of Economic Shocks: Evidence from the Fracking Revolution: Comment,inconclusive,direct or close,2020,social sciences,,
1,10.3386/w21588,reproduction,yes,oa,788,The Wage Impact of the Marielitos: A Reappraisal,reversal,direct or close,2015,social sciences,,
1,10.3386/w21801,reproduction,yes,oa,696,The Labor Market Effects of a Refugee Wave: Applying the Synthetic Control Method to the Mariel Boatlift,success,direct or close,2015,social sciences,,
1,10.3386/w21850,reproduction,yes,oa,1486,The Wage Impact of the Marielitos: Additional Evidence,reversal,direct or close,2016,social sciences,,
2,10.1016/j.anbehav.2010.02.019,replication,no,epmc,1603,"Mechanisms underlying responses to inequitable outcomes in chimpanzees, Pan troglodytes",inconclusive,close experiment,2010,social sciences,,
2,10.1016/j.jml.2013.09.002,replication,no,epmc,1573,Synonyms provide semantic preview benefit in English,success,close experiment,2013,social sciences,,
2,10.1016/j.schres.2012.06.039,replication,no,epmc,1654,Multimodal analysis of the hippocampus in schizophrenia using proton magnetic resonance spectroscopy and functional magnetic resonance imaging,success,conceptual,2012,biological sciences,,
2,10.3982/ecta7642,reproduction,no,oa,1040,Classification Error in Dynamic Discrete Choice Models: Implications for Female Labor Supply Behavior,reversal,direct or close,2009,social sciences,,
3,10.1007/s00296-010-1519-x,replication,no,(title only),0,The PADI4 gene does not contribute to genetic susceptibility to rheumatoid arthritis in Chinese Han population,failure,close experiment,2011,biological sciences,,
3,10.1016/j.joep.2019.02.001,replication,yes,(title only),0,Are consumption taxes really disliked more than equivalent costs? Inconclusive results in the USA and no effect in the UK,inconclusive,,2019,social sciences,,
3,10.1038/gene.2009.81,replication,no,(title only),0,Multiple sclerosis susceptibility alleles in African Americans,inconclusive,close extension,2010,biological sciences,,
3,10.1038/sj.ejhg.5201866,replication,no,(title only),0,Confirmation of associations between ion channel gene SNPs and QTc interval duration in healthy subjects,success,close extension,2007,biological sciences,,
3,10.1086/345442,replication,no,(title only),0,Association of Neuregulin 1 with Schizophrenia Confirmed in a Scottish Population,success,close extension,2003,biological sciences,,
3,10.1007/s00181-012-0663-4,reproduction,no,(title only),0,A note on the robustness of Card and Krueger (1994) and Neumark and Wascher (2000),success,direct or close,2012,social sciences,,
3,10.1007/s10508-017-0993-6,reproduction,no,(title only),0,Have Mischievous Responders Misidentified Sexual Minority Youth Disparities in the National Longitudinal Study of Adolescent to Adult Health?,success,direct,2018,social sciences,,
