doi_r,title_r,doi_o,title_o,set,label,mo_titles,mo_dois,old_key,old_model,mo_key,quote,error,confident,reasoning,answer,flag,flag_names_other,alt,flag_conf,alt_is_mo,alt_first_is_mo
10.1007/s00426-021-01593-4,Mental heartbeat tracking and rating of emotional pictures are not related,10.1111/j.1469-8986.1981.tb02486.x,Heart Beat Perception and Emotional Experience,judged,mo,"['On the relationship between interoceptive awareness, emotional experience, and brain processes']",['10.1016/j.cogbrainres.2005.09.019'],@schandry1981,gpt-5.6-luna,@pollatos2005,"Our aim was to conceptually replicate the findings of previous empirical studies showing that people with higher cardiac interoceptive accuracy experience more intense emotions. Apart of the mental heartbeat tracking task of Schandry, Hungarian (n = 46, 76.0% female, mean age 22.28 ± 2.228) and Norwegian (n = 50, 60.0% female, mean age 24.66 ± 3.048) participants rated the arousal and valence evoked by positive, neutral and negative pictures.",,False,"The study says it conceptually replicates 'previous empirical studies' (plural) showing higher cardiac interoceptive accuracy relates to more intense emotions, without naming a single original; several listed records (Pollatos 2005, Herbert 2007, Wiens 2000, Schandry 1981) report that finding and fi","cannot_tell:@pollatos2005,@herbert2007,@wiens2000,@schandry1981",True,False,"['@pollatos2005', '@herbert2007', '@wiens2000']",False,True,True
10.1111/spsr.12479,Boosting the Understanding and Approval of Anti‐Corona Measures–Reducing Exponential Growth Bias and its Effects through Educational Nudges,10.1016/j.socscimed.2020.113473,Exponential-growth prediction bias and compliance with safety measures related to COVID-19,judged,mo,['Correcting misperceptions of exponential coronavirus growth increases support for social distancing'],['10.1073/pnas.2006048117'],@banerjee2020,gpt-5.6-luna,@lammers2020,We replicate an Amazon MTurk experiment regarding the spread of SARS-CoV-2 that was conducted in the general US population during the first wave of the pandemic in March 2020 dealing with this bias.,,True,The study says it replicates an Amazon MTurk experiment on SARS-CoV-2 spread conducted in the general US population in March 2020 about exponential growth bias; Lammers et al. (2020) 'Correcting misperceptions of exponential coronavirus growth increases support for social distancing' is the only rec,identified:@lammers2020,True,True,['@lammers2020'],True,True,True
10.1111/ejn.15512,Microstructural white matter abnormalities in Lesch–Nyhan disease,10.1212/wnl.0000000000001128,Brain white matter volume abnormalities in Lesch-Nyhan disease and its variants,judged,mo,['Regional brain volume abnormalities in Lesch-Nyhan disease and its variants: A cross-sectional study'],['10.1016/s1474-4422(13)70238-2'],@schretlen2014,gpt-5.6-luna,@schretlen2013,"We first replicated earlier findings of reduced intracranial, grey matter and white matter volumes in patients.",,True,"The abstract states 'We previously found reduced brain white matter volume in patients with Lesch-Nyhan disease compared with healthy adults using voxel-based morphometry', and the passage says the study replicated those earlier volume findings; @schretlen2014 is exactly the VBM white matter volume ",identified:@schretlen2014,False,False,[],False,False,False
10.1371/journal.pone.0262902,Examining the reliability and validity of two versions of the Effort-Expenditure for Rewards Task (EEfRT),10.1371/journal.pone.0006598,Worth the ‘EEfRT’? The Effort Expenditure for Rewards Task as an Objective Measure of Motivation and Anhedonia,judged,mo,"['Trait anticipatory pleasure predicts effort expenditure for reward', 'A low dosage of the dopamine D2-receptor antagonist sulpiride affects effort allocation for reward regardless of trait extraversion']","['10.1371/journal.pone.0131357', '10.1017/pen.2020.7']",@treadway2009,gpt-5.6-luna,@geaney2015,"In Study 2, we tested a larger sample of 394 healthy participants to further examine the original EEfRT.",,True,"The study examines the 'original EEfRT', which was introduced by Treadway et al. (2009) ('Worth the EEfRT?'); the other EEfRT-related records are later applications or modified versions, not the original task paper.",identified:@treadway2009,False,False,[],False,False,False
10.1080/13803611.2021.2022316,Effects of early mathematics intervention for low-SES pre-kindergarten and kindergarten students: a replication study,10.1016/j.ecresq.2004.01.002,Enhancing young children’s mathematical knowledge through a pre-kindergarten mathematics intervention,judged,mo,['Effects of a pre-kindergarten mathematics intervention: A randomized experiment'],['10.1080/19345740802114533'],@starkey2004,gpt-5.4-mini,@klein2008,"A randomised controlled trial was conducted in public American preschools to (1) replicate the efficacy of an intervention, Pre-K Mathematics, for low-SES children, and (2) test the combined impact of this intervention and a Common-Core-aligned kindergarten intervention, Early Learning in Mathematics.",,True,"The study replicates the efficacy of the Pre-K Mathematics intervention in a randomised trial with low-SES children; @klein2008 (Klein, Starkey et al., 2008, 'Effects of a Pre-Kindergarten Mathematics Intervention: A Randomized Experiment') is the original RCT of that intervention, while @starkey200",identified:@klein2008,True,True,['@klein2008'],True,True,True
10.1371/journal.pone.0263879,The real-time status of strong and weak islands,10.1353/lan.2006.0217,The real-time status of island phenomena,judged,mo,['Parsing WH-constructions: evidence for on-line gap location'],['10.1080/01690968608407062'],@phillips2006,gpt-5.6-luna,@stowe1986,Experiment 1 provided a conceptual replication of previous studies showing that real time processing is sensitive to strong islands.,,True,"The study re-tests real-time island effects in dependency formation, directly echoing Phillips (2006) 'The real-time status of island phenomena', whose title the study's framing and the quoted passage about real-time sensitivity to strong islands replicate; no other listed record matches this specif",identified:@phillips2006,False,False,[],False,False,False
10.1080/20473869.2022.2044594,Personality traits predict attitudes toward individuals with intellectual disability,10.1177/0265407510385494,Contact and knowledge as predictors of attitudes toward individuals with intellectual disabilities,judged,split,['The role of personality variables in predicting attitudes toward people with intellectual disability: An Australian perspective'],['10.1111/jir.12180'],@mcmanus2010,gpt-5.6-luna,@page2015,Results replicated previous findings by showing quality of contact was the strongest predictor of attitudes.,,False,"The study replicates a finding that quality of contact is the strongest predictor of attitudes toward individuals with ID; @mcmanus2010 (whose contact/knowledge measures the study uses) and @keith2015 (contact and attitudes toward ID) both fit this description, and the abstract does not name which p","cannot_tell:@mcmanus2010,@keith2015",True,False,['@keith2015'],False,False,False
10.1111/sjop.12816,To vaccinate or not: The relationship between conscientiousness and individual attitudes toward vaccination in real‐life contexts,10.1186/s12889-020-09840-w,Personality and individual attitudes toward vaccination: a nationally representative survey in the United States,judged,both,"[""Personality and demographic correlates of New Zealanders' confidence in the safety of childhood vaccinations""]",['10.1016/j.vaccine.2017.09.061'],@lin2020,gpt-5.6-luna,@lee2017,"Based on self-reported data, Study 1 fully replicated prior findings that higher levels of conscientiousness are associated with more positive attitudes towards vaccination in a Chinese student sample.",,True,"Study 1 says it replicated prior findings that conscientiousness predicts vaccination attitudes; @lin2020 is the primary study on personality and individual attitudes toward vaccination, while other list records concern COVID-19 hesitancy generally or other traits.",identified:@lin2020,False,False,[],False,False,False
10.3390/ijerph19084912,"Materialism, Egocentrism and Delinquent Behavior in Chinese Adolescents in Mainland China: A Short-Term Longitudinal Study",10.1080/15374410903401179,The Cost of Materialism in a Collectivistic Culture: Predicting Risky Behavior Engagement in Chinese Adolescents,judged,mo,['Concurrent and longitudinal predictors of adolescent delinquency in mainland Chinese adolescents: The role of materialism and egocentrism'],['10.3390/ijerph17207662'],@auerbach2009,gpt-5.6-luna,@shek2020c,This study also replicates the findings of a pioneer study in China reported previously.,,True,"The study says it replicates 'a pioneer study in China' on materialism, egocentrism, and delinquency in Mainland Chinese adolescents; @shek2020c (Concurrent and Longitudinal Predictors of Adolescent Delinquency in Mainland Chinese Adolescents: The Role of Materialism and Egocentrism) matches exactly",identified:@shek2020c,True,True,['@shek2020c'],True,True,True
10.3758/s13423-022-02158-1,"Pragmatic, constructive, and reconstructive memory influences on the hindsight bias",10.1037/0096-1523.1.3.288,Hindsight is not equal to foresight: The effect of outcome knowledge on judgment under uncertainty.,judged,mo,"['On the psychology of experimental surprises', 'On the psychology of experimental surprises']","['10.1037/0096-1523.3.4.544', '10.1037/0096-1523.3.4.544']",@fischhoff1975,gpt-5.6-luna,@slovic1977,"In a novel 3 × 2 within-participants design, with three sequential judgments of outcome probabilities in two scenarios, we replicated the within-participants hindsight bias observed in the classic memory design and the between-participants hindsight bias in a hypothetical design simultaneously.",,True,The study says it replicated 'the within-participants hindsight bias observed in the classic memory design and the between-participants hindsight bias in a hypothetical design simultaneously' — the classic memory design derives from Slovic & Fischhoff (1977) and the hypothetical design from Fischhof,"identified:@fischhoff1975,@slovic1977",False,False,['@slovic1977'],False,True,True
10.3390/cells11203242,Decreased Oligodendrocyte Number in Hippocampal Subfield CA4 in Schizophrenia: A Replication Study,10.3389/fncel.2016.00078,Oligodendrocyte and Interneuron Density in Hippocampal Subfields in Schizophrenia and Association of Oligodendrocyte Number with Cognitive Deficits,judged,mo,['Stereologic investigation of the posterior part of the hippocampus in schizophrenia'],['10.1007/s00401-008-0430-y'],@falkai2016b,gpt-5.6-luna,@schmitt2008,"By using unbiased design-based stereology, we reported a reduction in oligodendrocyte number in CA4 in schizophrenia and of granular neurons in the dentate gyrus (DG). Here, we aimed to replicate these findings in an independent sample.",,True,"The study re-tests its own group's reported finding of reduced oligodendrocyte number in CA4 and granular neurons in the DG; @falkai2016b (Steiner et al. 2016, oligodendrocyte and interneuron density in hippocampal subfields in schizophrenia) matches this exact finding, design, and population, where",identified:@falkai2016b,False,False,[],False,False,False
10.3389/fpsyg.2022.932592,The effects of wakeful rest on memory consolidation in an online memory study,10.3389/fnbeh.2017.00054,Non-Interfering Effects of Active Post-Encoding Tasks on Episodic Memory Consolidation in Humans,judged,mo,"['Promotion and suppression of autobiographical thinking differentially affect episodic memory consolidation', 'Promotion and suppression of autobiographical thinking differentially affect episodic memory consolidation']","['10.1371/journal.pone.0201780', '10.1371/journal.pone.0201780']",@varma2017,gpt-5.6-luna,@varma2018,or whether we would replicate the finding by Varma and colleagues such that participants' memory benefitted from both a rest and a 2-back task following encoding.,,True,"The study explicitly replicates the finding by Varma and colleagues that both rest and a 2-back task after encoding aid memory, using the same encoding material; @varma2017 (Varma, Takashima et al., 2017, on non-interfering effects of active post-encoding tasks) matches, while @varma2018 and @varma2",identified:@varma2017,False,False,[],False,False,False
10.1017/s1366728922000748,The contributions of proficiency and semantics to the bilingual sentence superiority effect,10.1038/s41598-021-99565-6,The contribution of semantics to the sentence superiority effect,judged,mo,['Unified syntax in the bilingual mind'],['10.3758/s13423-019-01666-x'],@massol2021,gpt-5.6-luna,@declerck2019,"Here, we replicate the SSE in Spanish-English bilinguals (e.g., better identification of vacío in ""my vaso is vacío"" [my glass is empty] than ""is vaso my vacío"" [is glass my empty]).",,True,"The study re-tests the recently reported bilingual SSE with French-English bilinguals reading mixed-language sentences, attributed to shared syntactic representations — this matches Declerck, Wen et al. (2019) 'Unified syntax in the bilingual mind'. Other list entries cover the monolingual SSE or re",identified:@declerck2019,True,True,['@declerck2019'],True,True,True
10.1098/rstb.2021.0459,"Looking at the Ebbinghaus illusion: differences in neurocomputational requirements, not gaze-mediated attention, explain a classic perception-action dissociation",10.1016/s0960-9822(01)00023-9,The dissociation between perception and action in the Ebbinghaus illusion,judged,mo,['Size-contrast illusions deceive the eye but not the hand'],['10.1016/s0960-9822(95)00133-3'],@haffenden2001,gpt-5.6-luna,@aglioti1995,"We replicated the classic dissociation: grasp aperture was refractory to the measured illusory effect on perceived size, while judgments and manual estimates of disc size were not.",,True,"The study replicates 'the classic dissociation' between grip aperture and perceived size in the Ebbinghaus illusion, which was originally demonstrated by Aglioti, DeSouza & Goodale (1995), 'Size-contrast illusions deceive the eye but not the hand'.",identified:@aglioti1995,True,True,['@aglioti1995'],True,True,True
10.1007/s10763-023-10368-9,The Novelty Effect on Assessment Interventions: a Qualitative Replication Study of Oral Performance Assessment in Undergraduate Mathematics,10.1080/02602938.2014.961124,Students’ views of oral performance assessment in mathematics: straddling the ‘assessment of’ and ‘assessment for’ learning divide,judged,mo,"[""The impact of high stakes oral performance assessment on students' approaches to learning: A case study""]",['10.1007/s10649-020-09937-4'],@iannone2014,gpt-5.6-luna,@iannone2020,"The replication study used the same data collection tools of a previous study on oral assessment of mathematics, but data were collected in a context where oral assessment is the norm. We aimed to find whether the results of the two studies were comparable and whether there was plausible evidence of an impact of novelty effect on the findings of the original study.",,False,"The study says it re-tests a previous study on oral performance assessment of mathematics whose data collection tools it reused, and its findings (students linking oral assessment to conceptual understanding, anxiety, better learning experience) match Iannone et al. 2020 on high stakes oral performa",identified:@iannone2020,True,True,['@iannone2020'],False,True,True
10.1515/cti-2022-0032,Don’t we know enough about models? Integrating a replication study into an introductory chemistry course in higher education,10.1039/d0rp00084a,Evaluation of the students’ understanding of models in science (SUMS) for use in undergraduate chemistry,judged,mo,"[""Students' understanding of the role of scientific models in learning science""]",['10.1080/09500690110066485'],@lazenby2020,gpt-5.6-luna,@treagust2002,This paper presents the German translation and replication of the Students’ Understanding of Models in Science (SUMS) instrument,,False,"The study replicates the SUMS instrument but does not cite the original SUMS development study (Gobert et al.) on the list; however, @lazenby2020 and @villablanca2020 are also SUMS-related evaluations/adaptations, so the list offers plausible SUMS-targeting candidates but none clearly identified as ","cannot_tell:@lazenby2020,@villablanca2020",True,False,['@villablanca2020'],False,False,False
10.1093/schbul/sbad161,A Cross-sectional Conceptual Replication and Longitudinal Evaluation of the PANSS-Autism-Severity-Score Measure Suggests it Does Not Capture Autistic Traits in Individuals With Psychosis,10.1016/j.psychres.2018.10.074,Looking through autistic features in schizophrenia using the PANSS Autism Severity Score (PAUSS),judged,mo,['Autism beyond diagnostic categories: characterization of autistic phenotypes in schizophrenia'],['10.1186/s12888-015-0494-x'],@deste2018,gpt-5.6-luna,@kstner2015,"Analyses from the original validation study were conducted with SSD participants, and extended into ASC, SSD-sibling, and TC participants.",,True,"The study replicates the original validation of the PAUSS measure, which was created and validated in Pina-Camacho et al. (2020) — the only PAUSS validation study on the list; Deste 2018 and Nibbio 2022 are later applications/reviews, not the original validation.",identified:@pinacamacho2020,True,True,['@pinacamacho2020'],True,False,False
10.1002/mrm.29947,Replication of the <scp>bSTAR</scp> sequence and open‐source implementation,10.1002/mrm.29757,Submillimeter lung MRI at 0.55 T using balanced steady‐state free precession with half‐radial dual‐echo readout (bSTAR),judged,mo,"['Balanced steady-state free precession thoracic imaging with half-radial dual-echo readout on smoothly interleaved archimedean spirals', 'Free-breathing half-radial dual-echo balanced steady-state free precession thoracic imaging with wobbling Archimedean spiral pole trajectories']","['10.1002/mrm.28119', '10.1016/j.zemedi.2022.01.003']",@bauman2023,gpt-5.6-luna,@bieri2022,"The replication of bSTAR, termed open-source bSTAR, is tested by replicating several figures from the published literature.",,True,"The study replicates bSTAR (balanced SSFP half-radial dual-echo lung imaging at 0.55T), which is exactly the technique and field strength described in @bauman2023; @bauman2019 is an earlier related paper but at different design, so the 0.55T bSTAR paper is the original re-tested.",identified:@bauman2023,False,False,[],False,False,False
10.1371/journal.pgen.1011192,Canadian COVID-19 host genetics cohort replicates known severity associations,10.1038/s41586-021-03767-x,Mapping the human genetic architecture of COVID-19,judged,mo,"['A second update on mapping the human genetic architecture of COVID-19', 'A second update on mapping the human genetic architecture of COVID-19', 'A second update on mapping the human genetic architecture of COVID-19']","['10.1038/s41586-023-06355-3', '10.1038/s41586-023-06355-3', '10.1038/s41586-023-06355-3']",@initiative2021,gpt-5.6-luna,,We investigated the evidence for replication of loci reported by the International Host Genetics Initiative (HGI);,,True,"The study replicates loci 'reported by the International Host Genetics Initiative (HGI)'; the HGI's published mapping of COVID-19 host genetic architecture is @initiative2021 (COVID-19 Host Genetics Initiative, 2021), whereas @initiative2020 describes the initiative itself rather than reporting the ",identified:@initiative2021,False,False,[],False,False,False
10.1089/cyber.2024.0136,Does Online Dating Make Relationships More Successful? Replication and Extension of a Previous Study,10.1073/pnas.1222447110,Marital satisfaction and break-ups differ across on-line and off-line meeting venues,judged,mo,['The online dating effect: Where a couple meets predicts the quality of their marriage'],['10.1016/j.chb.2023.107973'],@cacioppo2013,gpt-5.6-luna,@sharabi2023,"A previous study has found a negative correlation between meeting one’s romantic partner in online dating (vs. offline) and marriage quality through a quota sample of the U.S. population. This current study replicates and extends this previous study by analyzing another sample of the U.S. population from the Pew Research Center ( N = 2,787).",,True,The study says it replicates a previous study that found meeting one's partner online (vs. offline) negatively related to marriage quality using a quota sample of the U.S. population; Cacioppo et al. (2013) is exactly that study — marital satisfaction/break-ups across online vs. offline meeting venu,identified:@cacioppo2013,False,False,[],False,False,False
10.70923/001c.72403,Attempted Replication of Excess Heat in the Letts Dual-laser Experiment,10.70923/001c.72121,Terahertz difference frequency response of PdD in two-laser experiments,judged,both,['Highly reproducible LENR experiments using dual laser stimulation'],['https://brillouinenergy.com/newwebsite/wp-content/uploads/2018/11/highly-reproducible-lenr-experiments-using-dual-laser-stimulation.pdf'],@hagelstein2010,gpt-5.6-luna,,"By attempting a nearly exact replication of prior published work, we test the claim that release of non-chemical excess heat from loaded palladium deuteride (PdD) can be triggered by the application of two laser beams with wavelengths selected at specific difference frequencies around 8, 15 and 20 THz.",,False,"The study replicates Letts' two-laser excess heat finding, and both 2010 Hagelstein–Letts papers describe that two-laser difference-frequency work; the abstract's 'reported by Letts' does not distinguish between them.","cannot_tell:@hagelstein2010,@hagelstein2010b",True,False,['@hagelstein2010b'],False,False,False
10.3389/fpsyg.2024.1472489,Setting the tone: crossmodal emotional face-voice combinations in continuous flash suppression,10.1037/1528-3542.7.4.882,Fearful expressions gain preferential access to awareness during continuous flash suppression.,judged,split,['Are visual threats prioritized without awareness? A critical review and meta-analysis involving 3 behavioral paradigms and 2696 observers'],['10.1037/bul0000054'],@yang2007,gpt-5.6-luna,@hedger2016,"We replicated earlier findings that fearful faces broke suppression faster overall, supporting a threat bias.",,False,"The study only says it 'replicated earlier findings that fearful faces broke suppression faster overall', without naming a specific source; many listed b-CFS/binocular rivalry papers (e.g., yang2007, hedger2015, gayet2016, capito2014) report exactly this threat-bias finding, so the evidence cannot s","cannot_tell:@yang2007,@hedger2015,@gayet2016,@capito2014,@alpers2005,@alpers2006,@bannerman2008,@sheth2008",True,False,"['@hedger2015', '@gayet2016', '@capito2014', '@alpers2005', '@alpers2006', '@bannerman2008', '@sheth2008']",False,False,False
10.1007/s00426-025-02211-3,Attentional capture by real and illusory faces: a failure to replicate,10.3758/s13414-021-02267-4,A visual search advantage for illusory faces in objects,judged,mo,"['Attention capture by faces', 'Attention capture by faces']","['10.1016/j.cognition.2007.07.012', '10.1016/j.cognition.2007.07.012']",@keys2021,gpt-5.6-luna,@langton2007,"To explore whether such a configuration is sufficient to automatically capture attention, we conducted three behavioral experiments using a visual search paradigm.",,True,"The study is titled 'a failure to replicate' and re-tests the finding that illusory (pareidolic) faces capture attention in visual search, which matches Keys, Taubert et al. (2021) 'A visual search advantage for illusory faces in objects' exactly; no other listed record reports that specific finding",identified:@keys2021,False,False,[],False,False,False
10.1093/oncolo/oyab021,Physician Perceptions of the FDA’s Breakthrough Therapy Designation: An Update,10.1001/jama.2015.16984,Physicians’ Knowledge About FDA Approval Standards and Perceptions of the “Breakthrough Therapy” Designation,control,agrees_with_mo,"[""Physicians' knowledge about FDA approval standards and perceptions of the 'breakthrough therapy' designation""]",['10.1001/jama.2015.16984'],@kesselheim2016,gpt-5.6-luna,@kesselheim2016,The objective of this article is to examine whether physicians' familiarity with and interpretation of the Breakthrough Therapy designation have changed since a survey on the topic was published in 2016. We replicated three of the questions in that study,,True,"The study replicates a 2016 survey on physician perceptions of the Breakthrough Therapy designation, matching kesselheim2016 exactly; no other list record fits.",identified:@kesselheim2016,False,False,[],False,False,False
10.1371/journal.pone.0023371,Large Scale Replication Study of the Association between HLA Class II/BTNL2 Variants and Osteoarthritis of the Knee in European-Descent Populations,10.1371/journal.pone.0009723,New Sequence Variants in HLA Class II/III Region Associated with Susceptibility to Knee Osteoarthritis Identified by Genome-Wide Association Study,control,agrees_with_mo,"['New sequence variants in HLA class II/III region associated with susceptibility to knee osteoarthritis identified by genome-wide association study', 'New sequence variants in HLA class II/III region associated with susceptibility to knee osteoarthritis identified by genome-wide association study']","['10.1371/journal.pone.0009723', '10.1371/journal.pone.0009723']",@nakajima2010,gpt-5.6-luna,@nakajima2010,Large Scale Replication Study of the Association between HLA Class II/BTNL2 Variants and Osteoarthritis of the Knee in European-Descent Populations. This study evaluates the association in Caucasian populations of two single nucleotide polymorphisms (SNPs) mapping to the Human Leukocyte Antigen (HLA) region and deriving from a genome wide association scan (GWAS) of knee OA in Japanese populations.,,True,"The study re-tests two SNPs from a Japanese knee-OA GWAS in the HLA class II region, matching the Nakajima et al. 2010 GWAS; Shi 2010 is a candidate but is itself a follow-up association study, not the GWAS that discovered the variants.",identified:@nakajima2010,False,False,[],False,False,False
10.1121/10.0015093,Revisiting the left ear advantage for phonetic cues to talker identification,10.1016/j.bandl.2006.06.002,Training to use voice onset time as a cue to talker identification induces a left-ear/right-hemisphere processing advantage,control,agrees_with_mo,"['Training to use voice onset time as a cue to talker identification induces a left-ear/right-hemisphere processing advantage', 'Training to use voice onset time as a cue to talker identification induces a left-ear/right-hemisphere processing advantage']","['10.1016/j.bandl.2006.06.002', '10.1016/j.bandl.2006.06.002']",@francis2006,gpt-5.6-luna,@francis2006,Experiment 1 (n = 97) aimed to replicate this finding and identify predictors of performance; experiment 2 (n = 79) aimed to replicate this finding under conditions that better facilitate observation of laterality effects.,,True,"The study replicates the finding that training listeners to use VOT as a talker cue yields a left-ear advantage; @francis2006 is exactly that study (training to use VOT as a cue to talker identification induces a left-ear/right-hemisphere advantage), and no other record fits.",identified:@francis2006,False,False,[],False,False,False
10.5430/jnep.v3n6p51,Logo-autobiography and its effectiveness on depressed Korean immigrant women: A replication study,10.1177/1043659612452005,Logo-Autobiography and Its Effectiveness on Depressed Korean Immigrant Women,control,agrees_with_mo,['Logo-Autobiography and its effectiveness on depressed Korean immigrant women'],['10.1177/1043659612452005'],@cho2012,gpt-5.4-mini,@cho2012,Logo-autobiography and its effectiveness on depressed Korean immigrant women: A replication study,,True,"The study title says it is a replication, and @cho2012 ('Logo-Autobiography and Its Effectiveness on Depressed Korean Immigrant Women') is exactly the earlier study with the same design, population, and measures whose findings this replication re-tests.",identified:@cho2012,False,False,[],False,False,False
10.1158/1055-9965.epi-11-0396,Circulating Soluble CD30 and Future Risk of Lymphoma; Evidence from Two Prospective Studies in the General Population,10.1182/blood-2009-04-217521,A prospective study of serum soluble CD30 concentration and risk of non-Hodgkin lymphoma,control,agrees_with_mo,['A prospective study of serum soluble CD30 concentration and risk of non-Hodgkin lymphoma'],['10.1182/blood-2009-04-217521'],@purdue2009,gpt-5.6-luna,@purdue2009,This finding was recently extended to the general population where elevated levels of sCD30 were reported in prediagnostic serum among subjects that developed NHL later in life. METHODS: We carried out a replication study within the Italian European Prospective Investigation into Cancer and Nutrition cohort.,,True,"The study replicates the 'recently extended to the general population' prospective finding of elevated prediagnostic sCD30 and NHL risk, which matches Purdue et al. 2009, a prospective general-population study of serum sCD30 and NHL; Breen 2006 is the AIDS-related prior finding, not the general-popu",identified:@purdue2009,False,False,[],False,False,False
10.3389/fpsyg.2021.662828,Replication Studies on Significant Differences in Personality Profiles of Securely and Insecurely Attached Psychotherapists and Dentists,10.3389/fpsyg.2020.00611,"Significant Differences in Personality Styles of Securely and Insecurely Attached Psychotherapists: Data, Reflections and Implications",control,agrees_with_mo,"['Significant differences in personality styles of securely and insecurely attached psychotherapists. Data, reflections and implications', 'Significant differences in personality styles of securely and insecurely attached psychotherapists. Data, reflections and implications', 'Significant differences in personality styles of securely and insecurely attached psychotherapists. Data, reflections and implications']","['10.3389/fpsyg.2020.00611', '10.3389/fpsyg.2020.00611', '10.3389/fpsyg.2020.00611']",@peter2020b,gpt-5.6-luna,@peter2020b,"In a preceding study, it has been found that insecurely attached psychotherapists differ in nine personality styles from securely attached ones. The aim of the present study was to replicate these findings",,True,"The study replicates the finding that insecurely attached psychotherapists differ in nine personality styles from securely attached ones, which matches @peter2020b ('Significant Differences in Personality Styles of Securely and Insecurely Attached Psychotherapists') by the same group; @peter2020 is ",identified:@peter2020b,False,False,[],False,False,False
10.1038/s41598-022-05923-3,Irrelevant insights make worldviews ring true,10.1016/j.cognition.2019.104122,The dark side of Eureka: Artificially induced Aha moments make facts feel true,control,agrees_with_mo,['The dark side of Eureka: Artificially induced aha moments make facts feel true'],['10.1016/j.cognition.2019.104122'],@laukkonen2019,gpt-5.6-luna,@laukkonen2019,"In the first experiment (N = 3000, which included a direct replication), participants rated worldview beliefs as truer when they solved anagrams and also experienced aha moments.",,True,"The study extends and directly replicates the finding that artificially induced aha moments make statements feel truer — exactly the finding of Laukkonen et al. (2019), 'The dark side of Eureka: Artificially induced Aha moments make facts feel true' (@laukkonen2019), which is not duplicated by the n",identified:@laukkonen2019,False,False,[],False,False,False
10.1074/jbc.c112.394403,Growth of a Bacterium That Apparently Uses Arsenic Instead of Phosphorus Is a Consequence of Massive Ribosome Breakdown*,10.1126/science.1197258,RETRACTED: A Bacterium That Can Grow by Using Arsenic Instead of Phosphorus,control,agrees_with_mo,['RETRACTED: A Bacterium That Can Grow by Using Arsenic Instead of Phosphorus'],['10.1126/science.1197258'],@wolfesimon2010,gpt-5.6-luna,@wolfesimon2010,"A recent study (Wolfe-Simon, F., Switzer Blum, J., Kulp, T. R., Gordon, G. W., Hoeft, S. E., Pett-Ridge, J., Stolz, J. F., Webb, S. M., Weber, P. K., Davies, P. C., Anbar, A. D., and Oremland, R. S. (2011) Science 332, 1163–1166) described the isolation of a special bacterial strain, GFAJ-1, that could grow in medium containing arsenate, but lacking phosphate, and that supposedly could substitute arsenic for phosphorus in its biological macromolecules. Here, we provide an alternative explanation for these observations and show that they can be reproduced in a laboratory strain of Escherichia coli.",,True,The study quotes the Wolfe-Simon et al. paper describing GFAJ-1's arsenate growth and re-tests its finding; the list's Wolfe-Simon 2010 record is that paper (the 2011 Science article's list entry).,identified:@wolfesimon2010,False,False,[],False,False,False
10.1177/0145445515580533,Replication Study of the Milwaukee Inventory for Subtypes of Trichotillomania–Adult Version in a Clinically Characterized Sample,10.1007/s10862-007-9073-x,The Milwaukee Inventory for Subtypes of Trichotillomania-Adult Version (MIST-A): Development of an Instrument for the Assessment of “Focused” and “Automatic” Hair Pulling,control,agrees_with_mo,"['The Milwaukee Inventory for Subtypes of Trichotillomania-Adult version (MIST-A): Development of an instrument for the assessment of ""focused"" and ""automatic"" hair pulling']",['10.1007/s10862-007-9073-x'],@flessner2007,gpt-5.6-luna,@flessner2007,"In the present study, we evaluated the Milwaukee Inventory for Subtypes of Trichotillomania-Adult Version (MIST-A) in a replication sample of clinically characterized hair pullers using exploratory factor analysis (EFA; N = 193).",,True,"The study replicates the MIST-A by re-evaluating its factor structure; @flessner2007 is the 2007 paper developing the MIST-A instrument whose two-factor 'focused/automatic' finding is being re-tested, while @flessner2007b is the child version and other records are unrelated.",identified:@flessner2007,False,False,[],False,False,False
10.1186/s12967-018-1488-5,A validation study of crescents in predicting ESRD in patients with IgA nephropathy,10.1681/asn.2016040433,A Multicenter Study of the Predictive Value of Crescents in IgA Nephropathy,control,agrees_with_mo,['A multicenter study of the predictive value of crescents in IgA nephropathy'],['10.1681/asn.2016040433'],@haas2016,gpt-5.6-luna,@haas2016,"A working group on the Oxford classification of IgA nephropathy (IgAN) recently reported that crescents detected in kidney tissue predicted a worse renal outcome. However, this finding must be validated in independent cohorts before it can be widely applied to clinical practice.",,True,"The study re-tests the recent finding by a working group that crescents predict worse renal outcome in IgAN; @haas2016 is the multicenter study of the predictive value of crescents in IgA nephropathy by Haas, Verhave et al., which reported this association, while @society2009/@society2009b are the 2",identified:@haas2016,False,False,[],False,False,False
